State,Total live,Number of newborns,Number of newborns having
"",birth,weighed at birth,weight less than 2.5 kg
All India,21233538,20312792,2518668
A & N Islands,3618,3553,574
Andhra Pradesh,736774,727691,35471
Arunachal Pradesh,20668,20219,1128
Assam,600797,591026,83603
Bihar,2114235,1982083,203453
Chandigarh,27957,27852,6673
Chhattisgarh,479404,476287,54297
Dadra & Nagar Haveli,9539,9308,3272
Daman & Diu,4059,4041,822
Delhi,283719,274996,59981
Goa,18491,18480,3214
Gujarat,1148115,1113404,143543
Haryana,511004,507101,60020
Himachal Pradesh,88410,88043,11996
Jammu & Kashmir,191384,188832,10451
Jharkhand,731400,712080,49974
Karnataka,898459,866847,93449
Kerala,464530,455978,51471
Lakshadweep,851,872,84
Madhya Pradesh,1403115,1356289,211528
Maharashtra,1796217,1762571,213241
Manipur,39462,39168,1566
Meghalaya,89449,85982,6815
Mizoram,20577,19821,1009
Nagaland,20582,20215,896
Odisha,632591,630401,117894
Puducherry,43023,34778,6070
Punjab,377525,371836,28698
Rajasthan,1362923,1302895,188673
Sikkim,7188,6797,621
Tamil Nadu,942471,942326,120464
Telangana,633667,528801,41286
Tripura,51339,50529,6012
Uttar Pradesh,4071547,3772401,435122
Uttarakhand,152300,146679,11013
West Bengal,1256148,1172610,254284
