cm,3rd,15th,Median,85th,97th
45.0,2.1,2.2,2.5,2.7,2.9
45.5,2.2,2.3,2.5,2.8,3.0
46.0,2.2,2.4,2.6,2.9,3.1
46.5,2.3,2.5,2.7,3.0,3.2
47.0,2.4,2.6,2.8,3.1,3.3
47.5,2.4,2.6,2.9,3.2,3.4
48.0,2.5,2.7,3.0,3.3,3.5
48.5,2.6,2.8,3.1,3.4,3.7
49.0,2.7,2.9,3.2,3.5,3.8
49.5,2.8,3.0,3.3,3.6,3.9
50.0,2.8,3.1,3.4,3.7,4.0
50.5,2.9,3.2,3.5,3.8,4.1
51.0,3.0,3.2,3.6,3.9,4.3
51.5,3.1,3.4,3.7,4.0,4.4
52.0,3.2,3.5,3.8,4.2,4.5
52.5,3.3,3.6,3.9,4.3,4.7
53.0,3.4,3.7,4.0,4.4,4.8
53.5,3.5,3.8,4.2,4.6,5.0
54.0,3.6,3.9,4.3,4.7,5.1
54.5,3.7,4.0,4.4,4.9,5.3
55.0,3.9,4.1,4.5,5.0,5.4
55.5,4.0,4.3,4.7,5.2,5.6
56.0,4.1,4.4,4.8,5.3,5.8
56.5,4.2,4.5,5.0,5.5,5.9
57.0,4.3,4.6,5.1,5.6,6.1
57.5,4.4,4.8,5.2,5.7,6.2
58.0,4.5,4.9,5.4,5.9,6.4
58.5,4.6,5.0,5.5,6.0,6.5
59.0,4.8,5.1,5.6,6.2,6.7
59.5,4.9,5.2,5.7,6.3,6.9
cm,3rd,15th,Median,85th,97th
60.0,5.0,5.4,5.9,6.5,7.0
60.5,5.1,5.5,6.0,6.6,7.2
61.0,5.2,5.6,6.1,6.7,7.3
61.5,5.3,5.7,6.3,6.9,7.5
62.0,5.4,5.8,6.4,7.0,7.6
62.5,5.5,5.9,6.5,7.2,7.8
63.0,5.6,6.0,6.6,7.3,7.9
63.5,5.7,6.1,6.7,7.4,8.0
64.0,5.8,6.2,6.9,7.5,8.2
64.5,5.9,6.3,7.0,7.7,8.3
65.0,6.0,6.5,7.1,7.8,8.5
65.5,6.1,6.6,7.2,7.9,8.6
66.0,6.2,6.7,7.3,8.0,8.7
66.5,6.3,6.8,7.4,8.2,8.9
67.0,6.4,6.9,7.5,8.3,9.0
67.5,6.5,7.0,7.6,8.4,9.1
68.0,6.6,7.1,7.7,8.5,9.2
68.5,6.7,7.2,7.9,8.6,9.4
69.0,6.7,7.3,8.0,8.8,9.5
69.5,6.8,7.3,8.1,8.9,9.6
70.0,6.9,7.4,8.2,9.0,9.7
70.5,7.0,7.5,8.3,9.1,9.9
71.0,7.1,7.6,8.4,9.2,10.0
71.5,7.2,7.7,8.5,9.3,10.1
72.0,7.3,7.8,8.6,9.4,10.2
72.5,7.4,7.9,8.7,9.5,10.3
73.0,7.4,8.0,8.8,9.6,10.4
73.5,7.5,8.1,8.9,9.7,10.6
74.0,7.6,8.2,9.0,9.9,10.7
74.5,7.7,8.3,9.1,10.0,10.8
75.0,7.8,8.3,9.1,10.1,10.9
cm,3rd,15th,Median,85th,97th
75.5,7.8,8.4,9.2,10.2,11.0
76.0,7.9,8.5,9.3,10.3,11.1
76.5,8.0,8.6,9.4,10.4,11.2
77.0,8.1,8.7,9.5,10.5,11.3
77.5,8.2,8.8,9.6,10.6,11.4
78.0,8.2,8.9,9.7,10.7,11.5
78.5,8.3,8.9,9.8,10.8,11.7
79.0,8.4,9.0,9.9,10.9,11.8
79.5,8.5,9.1,10.0,11.0,11.9
80.0,8.6,9.2,10.1,11.1,12.0
80.5,8.7,9.3,10.2,11.2,12.1
81.0,8.8,9.4,10.3,11.3,12.2
81.5,8.8,9.5,10.4,11.4,12.4
82.0,8.9,9.6,10.5,11.6,12.5
82.5,9.0,9.7,10.6,11.7,12.6
83.0,9.1,9.8,10.7,11.8,12.8
83.5,9.2,9.9,10.9,11.9,12.9
84.0,9.3,10.0,11.0,12.1,13.1
84.5,9.4,10.1,11.1,12.2,13.2
85.0,9.5,10.2,11.2,12.3,13.3
85.5,9.6,10.4,11.3,12.5,13.5
86.0,9.8,10.5,11.5,12.6,13.6
86.5,9.9,10.6,11.6,12.7,13.8
87.0,10.0,10.7,11.7,12.9,13.9
87.5,10.1,10.8,11.8,13.0,14.1
88.0,10.2,10.9,12.0,13.2,14.2
88.5,10.3,11.0,12.1,13.3,14.4
89.0,10.4,11.2,12.2,13.4,14.5
89.5,10.5,11.3,12.3,13.6,14.7
90.0,10.6,11.4,12.5,13.7,14.8
90.5,10.7,11.5,12.6,13.8,15.0
cm,3rd,15th,Median,85th,97th
91.0,10.8,11.6,12.7,14.0,15.1
91.5,10.9,11.7,12.8,14.1,15.3
92.0,11.0,11.8,13.0,14.2,15.4
92.5,11.1,12.0,13.1,14.4,15.6
93.0,11.2,12.1,13.2,14.5,15.7
93.5,11.3,12.2,13.3,14.7,15.9
94.0,11.4,12.3,13.5,14.8,16.0
94.5,11.5,12.4,13.6,14.9,16.2
95.0,11.6,12.5,13.7,15.1,16.3
95.5,11.8,12.6,13.8,15.2,16.5
96.0,11.9,12.7,14.0,15.4,16.6
96.5,12.0,12.9,14.1,15.5,16.8
97.0,12.1,13.0,14.2,15.6,16.9
97.5,12.2,13.1,14.4,15.8,17.1
98.0,12.3,13.2,14.5,15.9,17.3
98.5,12.4,13.3,14.6,16.1,17.4
99.0,12.5,13.5,14.8,16.2,17.6
99.5,12.6,13.6,14.9,16.4,17.8
100.0,12.7,13.7,15.0,16.5,17.9
100.5,12.9,13.8,15.2,16.7,18.1
101.0,13.0,14.0,15.3,16.9,18.3
101.5,13.1,14.1,15.5,17.0,18.5
102.0,13.2,14.2,15.6,17.2,18.6
102.5,13.3,14.4,15.8,17.4,18.8
103.0,13.5,14.5,15.9,17.5,19.0
103.5,13.6,14.6,16.1,17.7,19.2
104.0,13.7,14.8,16.2,17.9,19.4
104.5,13.9,14.9,16.4,18.1,19.6
105.0,14.0,15.1,16.5,18.2,19.8
105.5,14.1,15.2,16.7,18.4,20.0
106.0,14.3,15.4,16.9,18.6,20.2
cm,3rd,15th,Median,85th,97th
106.5,14.4,15.5,17.1,18.8,20.4
107.0,14.5,15.7,17.2,19.0,20.6
107.5,14.7,15.8,17.4,19.2,20.9
108.0,14.8,16.0,17.6,19.4,21.1
108.5,15.0,16.2,17.8,19.6,21.3
109.0,15.1,16.3,18.0,19.8,21.5
109.5,15.3,16.5,18.1,20.0,21.8
110.0,15.4,16.7,18.3,20.2,22.0
