Weeks,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0,43.6,45.4,47.3,49.1,51.0,52.9,54.7
1,44.7,46.6,48.4,50.3,52.2,54.1,56.0
2,45.8,47.7,49.6,51.5,53.4,55.3,57.2
3,46.7,48.6,50.5,52.5,54.4,56.3,58.2
4,47.5,49.5,51.4,53.4,55.3,57.3,59.2
5,48.3,50.3,52.3,54.2,56.2,58.2,60.1
6,49.1,51.1,53.1,55.1,57.1,59.0,61.0
7,49.8,51.8,53.8,55.8,57.8,59.9,61.9
8,50.5,52.5,54.6,56.6,58.6,60.6,62.6
9,51.2,53.2,55.2,57.3,59.3,61.4,63.4
10,51.8,53.8,55.9,57.9,60.0,62.1,64.1
11,52.4,54.4,56.5,58.6,60.7,62.7,64.8
12,52.9,55.0,57.1,59.2,61.3,63.4,65.5
13,53.5,55.6,57.7,59.8,61.9,64.0,66.1
